chainage,date,parameter,value,alert
51.9,2026-06-20,alignment,4.62,ok
52.0,2026-06-20,alignment,4.06,ok
52.1,2026-06-20,alignment,5.46,warning
52.2,2026-06-20,alignment,4.85,ok
52.3,2026-06-20,alignment,5.02,warning
52.4,2026-06-20,alignment,4.29,ok
52.5,2026-06-20,alignment,4.46,ok
52.6,2026-06-20,alignment,4.74,ok
52.7,2026-06-20,alignment,4.69,ok
52.8,2026-06-20,alignment,4.07,ok
52.9,2026-06-20,alignment,3.82,ok
53.0,2026-06-20,alignment,5.03,warning
53.1,2026-06-20,alignment,4.36,ok
53.2,2026-06-20,alignment,5.07,warning
53.3,2026-06-20,alignment,5.04,warning
53.4,2026-06-20,alignment,5.12,warning
53.5,2026-06-20,alignment,4.96,ok
53.6,2026-06-20,alignment,5.27,warning
53.7,2026-06-20,alignment,5.28,warning
53.8,2026-06-20,alignment,4.81,ok
53.9,2026-06-20,alignment,5.23,warning
54.0,2026-06-20,alignment,4.36,ok
54.1,2026-06-20,alignment,4.19,ok
54.2,2026-06-20,alignment,4.73,ok
54.3,2026-06-20,alignment,4.31,ok
54.4,2026-06-20,alignment,5.68,warning
54.5,2026-06-20,alignment,5.39,warning
54.6,2026-06-20,alignment,5.25,warning
54.7,2026-06-20,alignment,4.91,ok
54.8,2026-06-20,alignment,4.27,ok
54.9,2026-06-20,alignment,4.2,ok
55.0,2026-06-20,alignment,4.97,ok
55.1,2026-06-20,alignment,3.66,ok
55.2,2026-06-20,alignment,4.55,ok
55.3,2026-06-20,alignment,4.15,ok
55.4,2026-06-20,alignment,3.87,ok
55.5,2026-06-20,alignment,4.1,ok
55.6,2026-06-20,alignment,4.42,ok
55.7,2026-06-20,alignment,4.7,ok
55.8,2026-06-20,alignment,5.63,warning
55.9,2026-06-20,alignment,5.52,warning
56.0,2026-06-20,alignment,5.48,warning
56.1,2026-06-20,alignment,5.51,warning
56.2,2026-06-20,alignment,6.11,warning
56.3,2026-06-20,alignment,4.66,ok
56.4,2026-06-20,alignment,5.2,warning
56.5,2026-06-20,alignment,4.88,ok
56.6,2026-06-20,alignment,4.76,ok
56.7,2026-06-20,alignment,4.92,ok
56.8,2026-06-20,alignment,4.68,ok
56.9,2026-06-20,alignment,4.24,ok
57.0,2026-06-20,alignment,4.95,ok
57.1,2026-06-20,alignment,4.31,ok
57.2,2026-06-20,alignment,4.93,ok
57.3,2026-06-20,alignment,3.93,ok
57.4,2026-06-20,alignment,4.95,ok
57.5,2026-06-20,alignment,4.53,ok
57.6,2026-06-20,alignment,4.4,ok
57.7,2026-06-20,alignment,4.57,ok
57.8,2026-06-20,alignment,4.14,ok
57.9,2026-06-20,alignment,4.39,ok
58.0,2026-06-20,alignment,4.1,ok
58.1,2026-06-20,alignment,3.94,ok
58.2,2026-06-20,alignment,4.06,ok
58.3,2026-06-20,alignment,3.78,ok
58.4,2026-06-20,alignment,3.72,ok
58.5,2026-06-20,alignment,4.06,ok
58.6,2026-06-20,alignment,3.92,ok
58.7,2026-06-20,alignment,4.5,ok
58.8,2026-06-20,alignment,4.42,ok
58.9,2026-06-20,alignment,4.61,ok
59.0,2026-06-20,alignment,4.43,ok
59.1,2026-06-20,alignment,4.8,ok
59.2,2026-06-20,alignment,4.63,ok
59.3,2026-06-20,alignment,4.68,ok
59.4,2026-06-20,alignment,5.83,warning
59.5,2026-06-20,alignment,5.12,warning
59.6,2026-06-20,alignment,4.71,ok
59.7,2026-06-20,alignment,4.53,ok
59.8,2026-06-20,alignment,4.94,ok
59.9,2026-06-20,alignment,4.65,ok
60.0,2026-06-20,alignment,5.02,warning
0.0,2026-07-19,alignment,4.48,ok
0.1,2026-07-19,alignment,4.14,ok
0.2,2026-07-19,alignment,4.06,ok
0.3,2026-07-19,alignment,4.6,ok
0.4,2026-07-19,alignment,4.89,ok
0.5,2026-07-19,alignment,5.19,warning
0.6,2026-07-19,alignment,4.75,ok
0.7,2026-07-19,alignment,5.33,warning
0.8,2026-07-19,alignment,5.37,warning
0.9,2026-07-19,alignment,3.72,ok
1.0,2026-07-19,alignment,5.03,warning
1.1,2026-07-19,alignment,5.52,warning
1.2,2026-07-19,alignment,4.67,ok
1.3,2026-07-19,alignment,4.74,ok
1.4,2026-07-19,alignment,4.35,ok
1.5,2026-07-19,alignment,4.86,ok
1.6,2026-07-19,alignment,4.78,ok
1.7,2026-07-19,alignment,5.03,warning
1.8,2026-07-19,alignment,4.88,ok
1.9,2026-07-19,alignment,5.37,warning
2.0,2026-07-19,alignment,5.23,warning
2.1,2026-07-19,alignment,6.07,warning
2.2,2026-07-19,alignment,5.57,warning
2.3,2026-07-19,alignment,5.66,warning
2.4,2026-07-19,alignment,5.34,warning
2.5,2026-07-19,alignment,5.77,warning
2.6,2026-07-19,alignment,5.42,warning
2.7,2026-07-19,alignment,5.29,warning
2.8,2026-07-19,alignment,4.2,ok
2.9,2026-07-19,alignment,4.33,ok
3.0,2026-07-19,alignment,5.13,warning
3.1,2026-07-19,alignment,5.21,warning
3.2,2026-07-19,alignment,4.94,ok
3.3,2026-07-19,alignment,5.72,warning
3.4,2026-07-19,alignment,5.59,warning
3.5,2026-07-19,alignment,5.79,warning
3.6,2026-07-19,alignment,5.19,warning
3.7,2026-07-19,alignment,5.36,warning
3.8,2026-07-19,alignment,4.79,ok
3.9,2026-07-19,alignment,5.31,warning
4.0,2026-07-19,alignment,4.48,ok
4.1,2026-07-19,alignment,4.67,ok
4.2,2026-07-19,alignment,4.47,ok
4.3,2026-07-19,alignment,13.39,critical
4.4,2026-07-19,alignment,11.49,critical
4.5,2026-07-19,alignment,12.79,critical
4.6,2026-07-19,alignment,13.51,critical
4.7,2026-07-19,alignment,13.19,critical
4.8,2026-07-19,alignment,4.34,ok
4.9,2026-07-19,alignment,3.91,ok
5.0,2026-07-19,alignment,4.52,ok
5.1,2026-07-19,alignment,4.54,ok
5.2,2026-07-19,alignment,4.61,ok
5.3,2026-07-19,alignment,4.75,ok
5.4,2026-07-19,alignment,4.79,ok
5.5,2026-07-19,alignment,5.14,warning
5.6,2026-07-19,alignment,4.38,ok
5.7,2026-07-19,alignment,5.04,warning
5.8,2026-07-19,alignment,4.97,ok
5.9,2026-07-19,alignment,4.43,ok
6.0,2026-07-19,alignment,2.5,ok
6.1,2026-07-19,alignment,9.59,warning
6.2,2026-07-19,alignment,9.93,warning
6.3,2026-07-19,alignment,8.72,warning
6.4,2026-07-19,alignment,8.99,warning
6.5,2026-07-19,alignment,8.48,warning
6.6,2026-07-19,alignment,9.47,warning
6.7,2026-07-19,alignment,8.76,warning
6.8,2026-07-19,alignment,9.62,warning
6.9,2026-07-19,alignment,8.77,warning
7.0,2026-07-19,alignment,9.82,warning
7.1,2026-07-19,alignment,9.42,warning
7.2,2026-07-19,alignment,9.18,warning
7.3,2026-07-19,alignment,8.77,warning
7.4,2026-07-19,alignment,8.6,warning
7.5,2026-07-19,alignment,8.07,warning
7.6,2026-07-19,alignment,8.72,warning
7.7,2026-07-19,alignment,9.5,warning
7.8,2026-07-19,alignment,9.57,warning
7.9,2026-07-19,alignment,11.34,critical
8.0,2026-07-19,alignment,4.55,ok
8.1,2026-07-19,alignment,2.92,ok
8.2,2026-07-19,alignment,4.61,ok
8.3,2026-07-19,alignment,5.07,warning
8.4,2026-07-19,alignment,3.72,ok
8.5,2026-07-19,alignment,3.87,ok
8.6,2026-07-19,alignment,3.92,ok
8.7,2026-07-19,alignment,4.77,ok
8.8,2026-07-19,alignment,4.48,ok
8.9,2026-07-19,alignment,4.34,ok
9.0,2026-07-19,alignment,5.21,warning
9.1,2026-07-19,alignment,5.21,warning
9.2,2026-07-19,alignment,5.45,warning
9.3,2026-07-19,alignment,5.77,warning
9.4,2026-07-19,alignment,5.15,warning
9.5,2026-07-19,alignment,5.15,warning
9.6,2026-07-19,alignment,5.49,warning
9.7,2026-07-19,alignment,5.27,warning
9.8,2026-07-19,alignment,4.7,ok
9.9,2026-07-19,alignment,5.02,warning
10.0,2026-07-19,alignment,5.0,warning
10.1,2026-07-19,alignment,4.97,ok
10.2,2026-07-19,alignment,5.23,warning
10.3,2026-07-19,alignment,4.81,ok
10.4,2026-07-19,alignment,5.05,warning
10.5,2026-07-19,alignment,5.0,warning
10.6,2026-07-19,alignment,4.58,ok
10.7,2026-07-19,alignment,4.78,ok
10.8,2026-07-19,alignment,4.95,ok
10.9,2026-07-19,alignment,4.54,ok
11.0,2026-07-19,alignment,4.69,ok
11.1,2026-07-19,alignment,3.86,ok
11.2,2026-07-19,alignment,3.57,ok
11.3,2026-07-19,alignment,4.83,ok
11.4,2026-07-19,alignment,4.45,ok
11.5,2026-07-19,alignment,4.81,ok
11.6,2026-07-19,alignment,5.13,warning
11.7,2026-07-19,alignment,5.39,warning
11.8,2026-07-19,alignment,5.69,warning
11.9,2026-07-19,alignment,5.42,warning
12.0,2026-07-19,alignment,4.86,ok
12.1,2026-07-19,alignment,4.67,ok
12.2,2026-07-19,alignment,4.02,ok
12.3,2026-07-19,alignment,4.83,ok
12.4,2026-07-19,alignment,4.71,ok
12.5,2026-07-19,alignment,4.6,ok
12.6,2026-07-19,alignment,4.14,ok
12.7,2026-07-19,alignment,4.02,ok
12.8,2026-07-19,alignment,4.16,ok
12.9,2026-07-19,alignment,3.55,ok
13.0,2026-07-19,alignment,3.99,ok
13.1,2026-07-19,alignment,3.83,ok
13.2,2026-07-19,alignment,4.9,ok
13.3,2026-07-19,alignment,4.21,ok
13.4,2026-07-19,alignment,5.02,warning
13.5,2026-07-19,alignment,4.58,ok
13.6,2026-07-19,alignment,5.32,warning
13.7,2026-07-19,alignment,4.74,ok
13.8,2026-07-19,alignment,4.73,ok
13.9,2026-07-19,alignment,4.0,ok
14.0,2026-07-19,alignment,4.64,ok
14.1,2026-07-19,alignment,3.71,ok
14.2,2026-07-19,alignment,3.88,ok
14.3,2026-07-19,alignment,4.58,ok
14.4,2026-07-19,alignment,4.37,ok
14.5,2026-07-19,alignment,4.67,ok
14.6,2026-07-19,alignment,5.11,warning
14.7,2026-07-19,alignment,4.66,ok
14.8,2026-07-19,alignment,4.92,ok
14.9,2026-07-19,alignment,5.68,warning
15.0,2026-07-19,alignment,4.89,ok
15.1,2026-07-19,alignment,5.02,warning
15.2,2026-07-19,alignment,4.28,ok
15.3,2026-07-19,alignment,3.35,ok
15.4,2026-07-19,alignment,4.25,ok
15.5,2026-07-19,alignment,11.83,critical
15.6,2026-07-19,alignment,10.87,critical
15.7,2026-07-19,alignment,11.37,critical
15.8,2026-07-19,alignment,10.75,critical
15.9,2026-07-19,alignment,10.61,critical
16.0,2026-07-19,alignment,10.46,critical
16.1,2026-07-19,alignment,9.23,warning
16.2,2026-07-19,alignment,8.84,warning
16.3,2026-07-19,alignment,8.97,warning
16.4,2026-07-19,alignment,10.17,critical
16.5,2026-07-19,alignment,11.68,critical
16.6,2026-07-19,alignment,10.87,critical
16.7,2026-07-19,alignment,22.09,critical
16.8,2026-07-19,alignment,22.06,critical
16.9,2026-07-19,alignment,21.89,critical
17.0,2026-07-19,alignment,21.74,critical
17.1,2026-07-19,alignment,12.17,critical
17.2,2026-07-19,alignment,11.69,critical
17.3,2026-07-19,alignment,11.3,critical
17.4,2026-07-19,alignment,11.44,critical
17.5,2026-07-19,alignment,11.14,critical
17.6,2026-07-19,alignment,12.35,critical
17.7,2026-07-19,alignment,5.85,warning
17.8,2026-07-19,alignment,5.7,warning
17.9,2026-07-19,alignment,5.3,warning
18.0,2026-07-19,alignment,5.09,warning
18.1,2026-07-19,alignment,4.52,ok
18.2,2026-07-19,alignment,4.98,ok
18.3,2026-07-19,alignment,5.33,warning
18.4,2026-07-19,alignment,4.58,ok
18.5,2026-07-19,alignment,4.55,ok
18.6,2026-07-19,alignment,5.06,warning
18.7,2026-07-19,alignment,4.77,ok
18.8,2026-07-19,alignment,5.78,warning
18.9,2026-07-19,alignment,5.65,warning
19.0,2026-07-19,alignment,5.11,warning
19.1,2026-07-19,alignment,5.5,warning
19.2,2026-07-19,alignment,5.66,warning
19.3,2026-07-19,alignment,6.18,warning
19.4,2026-07-19,alignment,5.89,warning
19.5,2026-07-19,alignment,5.74,warning
19.6,2026-07-19,alignment,4.54,ok
19.7,2026-07-19,alignment,4.33,ok
19.8,2026-07-19,alignment,4.39,ok
19.9,2026-07-19,alignment,4.05,ok
20.0,2026-07-19,alignment,4.77,ok
20.1,2026-07-19,alignment,4.39,ok
20.2,2026-07-19,alignment,3.94,ok
20.3,2026-07-19,alignment,3.84,ok
20.4,2026-07-19,alignment,4.47,ok
20.5,2026-07-19,alignment,4.13,ok
20.6,2026-07-19,alignment,12.14,critical
20.7,2026-07-19,alignment,12.24,critical
20.8,2026-07-19,alignment,11.83,critical
20.9,2026-07-19,alignment,11.71,critical
21.0,2026-07-19,alignment,4.3,ok
21.1,2026-07-19,alignment,4.07,ok
21.2,2026-07-19,alignment,4.58,ok
21.3,2026-07-19,alignment,4.34,ok
21.4,2026-07-19,alignment,4.53,ok
21.5,2026-07-19,alignment,4.62,ok
21.6,2026-07-19,alignment,4.91,ok
21.7,2026-07-19,alignment,4.63,ok
21.8,2026-07-19,alignment,4.99,ok
21.9,2026-07-19,alignment,4.93,ok
22.0,2026-07-19,alignment,4.62,ok
22.1,2026-07-19,alignment,5.08,warning
22.2,2026-07-19,alignment,4.63,ok
22.3,2026-07-19,alignment,4.75,ok
22.4,2026-07-19,alignment,4.93,ok
22.5,2026-07-19,alignment,4.74,ok
22.6,2026-07-19,alignment,4.74,ok
22.7,2026-07-19,alignment,5.18,warning
22.8,2026-07-19,alignment,5.06,warning
22.9,2026-07-19,alignment,4.83,ok
23.0,2026-07-19,alignment,4.75,ok
23.1,2026-07-19,alignment,4.91,ok
23.2,2026-07-19,alignment,4.39,ok
23.3,2026-07-19,alignment,5.56,warning
23.4,2026-07-19,alignment,5.51,warning
23.5,2026-07-19,alignment,4.89,ok
23.6,2026-07-19,alignment,4.57,ok
23.7,2026-07-19,alignment,4.88,ok
23.8,2026-07-19,alignment,4.2,ok
23.9,2026-07-19,alignment,4.66,ok
24.0,2026-07-19,alignment,4.29,ok
24.1,2026-07-19,alignment,5.23,warning
24.2,2026-07-19,alignment,4.72,ok
24.3,2026-07-19,alignment,5.74,warning
24.4,2026-07-19,alignment,5.44,warning
24.5,2026-07-19,alignment,6.32,warning
24.6,2026-07-19,alignment,5.49,warning
24.7,2026-07-19,alignment,5.44,warning
24.8,2026-07-19,alignment,5.3,warning
24.9,2026-07-19,alignment,5.3,warning
25.0,2026-07-19,alignment,5.18,warning
25.1,2026-07-19,alignment,4.91,ok
25.2,2026-07-19,alignment,4.41,ok
25.3,2026-07-19,alignment,5.56,warning
25.4,2026-07-19,alignment,5.53,warning
25.5,2026-07-19,alignment,5.77,warning
25.6,2026-07-19,alignment,4.49,ok
25.7,2026-07-19,alignment,5.54,warning
25.8,2026-07-19,alignment,3.27,ok
25.9,2026-07-19,alignment,3.96,ok
26.0,2026-07-19,alignment,5.02,warning
26.1,2026-07-19,alignment,4.68,ok
26.2,2026-07-19,alignment,5.46,warning
26.3,2026-07-19,alignment,4.52,ok
26.4,2026-07-19,alignment,4.46,ok
26.5,2026-07-19,alignment,4.46,ok
26.6,2026-07-19,alignment,4.68,ok
26.7,2026-07-19,alignment,4.9,ok
26.8,2026-07-19,alignment,4.78,ok
26.9,2026-07-19,alignment,5.14,warning
27.0,2026-07-19,alignment,5.42,warning
27.1,2026-07-19,alignment,5.56,warning
27.2,2026-07-19,alignment,5.85,warning
27.3,2026-07-19,alignment,5.58,warning
27.4,2026-07-19,alignment,5.28,warning
27.5,2026-07-19,alignment,4.73,ok
27.6,2026-07-19,alignment,4.49,ok
27.7,2026-07-19,alignment,4.64,ok
27.8,2026-07-19,alignment,4.43,ok
27.9,2026-07-19,alignment,4.55,ok
28.0,2026-07-19,alignment,4.29,ok
28.1,2026-07-19,alignment,4.85,ok
28.2,2026-07-19,alignment,4.39,ok
28.3,2026-07-19,alignment,4.46,ok
28.4,2026-07-19,alignment,4.62,ok
28.5,2026-07-19,alignment,4.39,ok
28.6,2026-07-19,alignment,4.62,ok
28.7,2026-07-19,alignment,3.77,ok
28.8,2026-07-19,alignment,4.79,ok
28.9,2026-07-19,alignment,5.64,warning
29.0,2026-07-19,alignment,5.81,warning
29.1,2026-07-19,alignment,6.58,warning
29.2,2026-07-19,alignment,6.31,warning
29.3,2026-07-19,alignment,6.03,warning
29.4,2026-07-19,alignment,5.87,warning
29.5,2026-07-19,alignment,5.11,warning
29.6,2026-07-19,alignment,5.08,warning
29.7,2026-07-19,alignment,4.99,ok
29.8,2026-07-19,alignment,4.59,ok
29.9,2026-07-19,alignment,4.65,ok
30.0,2026-07-19,alignment,4.88,ok
30.1,2026-07-19,alignment,4.96,ok
30.2,2026-07-19,alignment,4.95,ok
30.3,2026-07-19,alignment,4.47,ok
30.4,2026-07-19,alignment,4.9,ok
30.5,2026-07-19,alignment,4.29,ok
30.6,2026-07-19,alignment,5.02,warning
30.7,2026-07-19,alignment,4.82,ok
30.8,2026-07-19,alignment,4.6,ok
30.9,2026-07-19,alignment,3.85,ok
31.0,2026-07-19,alignment,12.91,critical
31.1,2026-07-19,alignment,13.8,critical
31.2,2026-07-19,alignment,14.26,critical
31.3,2026-07-19,alignment,14.35,critical
31.4,2026-07-19,alignment,13.26,critical
31.5,2026-07-19,alignment,13.97,critical
31.6,2026-07-19,alignment,13.1,critical
31.7,2026-07-19,alignment,8.99,warning
31.8,2026-07-19,alignment,11.69,critical
31.9,2026-07-19,alignment,9.63,warning
32.0,2026-07-19,alignment,11.87,critical
32.1,2026-07-19,alignment,12.92,critical
32.2,2026-07-19,alignment,13.13,critical
32.3,2026-07-19,alignment,5.11,warning
32.4,2026-07-19,alignment,5.05,warning
32.5,2026-07-19,alignment,4.85,ok
32.6,2026-07-19,alignment,4.88,ok
32.7,2026-07-19,alignment,4.27,ok
32.8,2026-07-19,alignment,3.46,ok
32.9,2026-07-19,alignment,5.46,warning
33.0,2026-07-19,alignment,5.87,warning
33.1,2026-07-19,alignment,5.52,warning
33.2,2026-07-19,alignment,5.78,warning
33.3,2026-07-19,alignment,5.29,warning
33.4,2026-07-19,alignment,5.17,warning
33.5,2026-07-19,alignment,5.38,warning
33.6,2026-07-19,alignment,5.38,warning
33.7,2026-07-19,alignment,4.93,ok
33.8,2026-07-19,alignment,5.88,warning
33.9,2026-07-19,alignment,4.66,ok
34.0,2026-07-19,alignment,5.4,warning
34.1,2026-07-19,alignment,5.02,warning
34.2,2026-07-19,alignment,5.31,warning
34.3,2026-07-19,alignment,3.75,ok
34.4,2026-07-19,alignment,5.07,warning
34.5,2026-07-19,alignment,4.63,ok
34.6,2026-07-19,alignment,4.51,ok
34.7,2026-07-19,alignment,4.27,ok
34.8,2026-07-19,alignment,3.96,ok
34.9,2026-07-19,alignment,4.43,ok
35.0,2026-07-19,alignment,4.19,ok
35.1,2026-07-19,alignment,4.41,ok
35.2,2026-07-19,alignment,4.56,ok
35.3,2026-07-19,alignment,4.34,ok
35.4,2026-07-19,alignment,5.12,warning
35.5,2026-07-19,alignment,5.08,warning
35.6,2026-07-19,alignment,5.27,warning
35.7,2026-07-19,alignment,5.24,warning
35.8,2026-07-19,alignment,4.63,ok
35.9,2026-07-19,alignment,4.55,ok
36.0,2026-07-19,alignment,5.08,warning
36.1,2026-07-19,alignment,5.25,warning
36.2,2026-07-19,alignment,4.92,ok
36.3,2026-07-19,alignment,4.52,ok
36.4,2026-07-19,alignment,4.23,ok
36.5,2026-07-19,alignment,4.32,ok
36.6,2026-07-19,alignment,4.77,ok
36.7,2026-07-19,alignment,5.2,warning
36.8,2026-07-19,alignment,5.09,warning
36.9,2026-07-19,alignment,4.66,ok
37.0,2026-07-19,alignment,4.66,ok
37.1,2026-07-19,alignment,4.56,ok
37.2,2026-07-19,alignment,4.54,ok
37.3,2026-07-19,alignment,4.69,ok
37.4,2026-07-19,alignment,5.06,warning
37.5,2026-07-19,alignment,4.23,ok
37.6,2026-07-19,alignment,5.52,warning
37.7,2026-07-19,alignment,4.74,ok
37.8,2026-07-19,alignment,5.01,warning
37.9,2026-07-19,alignment,5.91,warning
38.0,2026-07-19,alignment,5.36,warning
38.1,2026-07-19,alignment,4.65,ok
38.2,2026-07-19,alignment,5.06,warning
38.3,2026-07-19,alignment,4.56,ok
38.4,2026-07-19,alignment,4.33,ok
38.5,2026-07-19,alignment,3.59,ok
38.6,2026-07-19,alignment,3.54,ok
38.7,2026-07-19,alignment,3.79,ok
38.8,2026-07-19,alignment,4.97,ok
38.9,2026-07-19,alignment,5.0,warning
39.0,2026-07-19,alignment,4.67,ok
39.1,2026-07-19,alignment,4.2,ok
39.2,2026-07-19,alignment,4.57,ok
39.3,2026-07-19,alignment,4.51,ok
39.4,2026-07-19,alignment,3.74,ok
39.5,2026-07-19,alignment,4.61,ok
39.6,2026-07-19,alignment,6.15,warning
39.7,2026-07-19,alignment,5.58,warning
39.8,2026-07-19,alignment,4.85,ok
39.9,2026-07-19,alignment,4.67,ok
40.0,2026-07-19,alignment,5.34,warning
40.1,2026-07-19,alignment,5.14,warning
40.2,2026-07-19,alignment,4.4,ok
40.3,2026-07-19,alignment,4.57,ok
40.4,2026-07-19,alignment,4.14,ok
40.5,2026-07-19,alignment,11.57,critical
40.6,2026-07-19,alignment,11.54,critical
40.7,2026-07-19,alignment,11.64,critical
40.8,2026-07-19,alignment,10.3,critical
40.9,2026-07-19,alignment,10.45,critical
41.0,2026-07-19,alignment,10.7,critical
41.1,2026-07-19,alignment,10.84,critical
41.2,2026-07-19,alignment,11.19,critical
41.3,2026-07-19,alignment,10.46,critical
41.4,2026-07-19,alignment,4.89,ok
41.5,2026-07-19,alignment,5.0,warning
41.6,2026-07-19,alignment,4.27,ok
41.7,2026-07-19,alignment,2.56,ok
41.8,2026-07-19,alignment,3.95,ok
41.9,2026-07-19,alignment,4.27,ok
42.0,2026-07-19,alignment,4.39,ok
42.1,2026-07-19,alignment,4.56,ok
42.2,2026-07-19,alignment,4.76,ok
42.3,2026-07-19,alignment,5.04,warning
42.4,2026-07-19,alignment,4.85,ok
42.5,2026-07-19,alignment,5.13,warning
42.6,2026-07-19,alignment,5.01,warning
42.7,2026-07-19,alignment,5.3,warning
42.8,2026-07-19,alignment,5.55,warning
42.9,2026-07-19,alignment,5.28,warning
43.0,2026-07-19,alignment,3.9,ok
43.1,2026-07-19,alignment,4.69,ok
43.2,2026-07-19,alignment,5.06,warning
43.3,2026-07-19,alignment,4.75,ok
43.4,2026-07-19,alignment,4.55,ok
43.5,2026-07-19,alignment,4.7,ok
43.6,2026-07-19,alignment,4.31,ok
43.7,2026-07-19,alignment,3.97,ok
43.8,2026-07-19,alignment,4.26,ok
43.9,2026-07-19,alignment,4.56,ok
44.0,2026-07-19,alignment,3.93,ok
44.1,2026-07-19,alignment,3.86,ok
44.2,2026-07-19,alignment,3.41,ok
44.3,2026-07-19,alignment,3.38,ok
44.4,2026-07-19,alignment,4.73,ok
44.5,2026-07-19,alignment,4.53,ok
44.6,2026-07-19,alignment,4.26,ok
44.7,2026-07-19,alignment,4.42,ok
44.8,2026-07-19,alignment,4.85,ok
44.9,2026-07-19,alignment,9.26,warning
45.0,2026-07-19,alignment,8.69,warning
45.1,2026-07-19,alignment,8.41,warning
45.2,2026-07-19,alignment,7.39,warning
45.3,2026-07-19,alignment,7.64,warning
45.4,2026-07-19,alignment,7.02,warning
45.5,2026-07-19,alignment,7.4,warning
45.6,2026-07-19,alignment,7.13,warning
45.7,2026-07-19,alignment,7.52,warning
45.8,2026-07-19,alignment,7.12,warning
45.9,2026-07-19,alignment,4.4,ok
46.0,2026-07-19,alignment,4.15,ok
46.1,2026-07-19,alignment,4.35,ok
46.2,2026-07-19,alignment,3.78,ok
46.3,2026-07-19,alignment,4.05,ok
46.4,2026-07-19,alignment,4.65,ok
46.5,2026-07-19,alignment,4.32,ok
46.6,2026-07-19,alignment,4.88,ok
46.7,2026-07-19,alignment,4.41,ok
46.8,2026-07-19,alignment,5.18,warning
46.9,2026-07-19,alignment,5.16,warning
47.0,2026-07-19,alignment,3.17,ok
47.1,2026-07-19,alignment,3.91,ok
47.2,2026-07-19,alignment,4.52,ok
47.3,2026-07-19,alignment,4.6,ok
47.4,2026-07-19,alignment,4.79,ok
47.5,2026-07-19,alignment,3.83,ok
47.6,2026-07-19,alignment,3.56,ok
47.7,2026-07-19,alignment,4.46,ok
47.8,2026-07-19,alignment,4.72,ok
47.9,2026-07-19,alignment,3.52,ok
48.0,2026-07-19,alignment,4.61,ok
48.1,2026-07-19,alignment,4.18,ok
48.2,2026-07-19,alignment,4.67,ok
48.3,2026-07-19,alignment,3.78,ok
48.4,2026-07-19,alignment,4.14,ok
48.5,2026-07-19,alignment,4.59,ok
48.6,2026-07-19,alignment,4.86,ok
48.7,2026-07-19,alignment,4.55,ok
48.8,2026-07-19,alignment,4.79,ok
48.9,2026-07-19,alignment,2.82,ok
49.0,2026-07-19,alignment,4.67,ok
49.1,2026-07-19,alignment,4.68,ok
49.2,2026-07-19,alignment,4.98,ok
49.3,2026-07-19,alignment,4.45,ok
49.4,2026-07-19,alignment,5.17,warning
49.5,2026-07-19,alignment,4.51,ok
49.6,2026-07-19,alignment,5.56,warning
49.7,2026-07-19,alignment,4.42,ok
49.8,2026-07-19,alignment,4.61,ok
49.9,2026-07-19,alignment,4.65,ok
50.0,2026-07-19,alignment,5.35,warning
50.1,2026-07-19,alignment,5.42,warning
50.2,2026-07-19,alignment,5.63,warning
50.3,2026-07-19,alignment,4.56,ok
50.4,2026-07-19,alignment,5.3,warning
50.5,2026-07-19,alignment,4.73,ok
50.6,2026-07-19,alignment,5.11,warning
50.7,2026-07-19,alignment,5.2,warning
50.8,2026-07-19,alignment,4.37,ok
50.9,2026-07-19,alignment,2.74,ok
51.0,2026-07-19,alignment,5.03,warning
51.1,2026-07-19,alignment,5.3,warning
51.2,2026-07-19,alignment,3.36,ok
51.3,2026-07-19,alignment,4.05,ok
51.4,2026-07-19,alignment,2.08,ok
51.5,2026-07-19,alignment,4.18,ok
51.6,2026-07-19,alignment,3.91,ok
51.7,2026-07-19,alignment,4.74,ok
51.8,2026-07-19,alignment,4.7,ok
51.9,2026-07-19,alignment,4.71,ok
52.0,2026-07-19,alignment,5.25,warning
52.1,2026-07-19,alignment,5.48,warning
52.2,2026-07-19,alignment,5.48,warning
52.3,2026-07-19,alignment,5.19,warning
52.4,2026-07-19,alignment,4.89,ok
52.5,2026-07-19,alignment,4.66,ok
52.6,2026-07-19,alignment,4.74,ok
52.7,2026-07-19,alignment,5.17,warning
52.8,2026-07-19,alignment,4.45,ok
52.9,2026-07-19,alignment,5.26,warning
53.0,2026-07-19,alignment,4.56,ok
53.1,2026-07-19,alignment,4.54,ok
53.2,2026-07-19,alignment,4.84,ok
53.3,2026-07-19,alignment,4.8,ok
53.4,2026-07-19,alignment,5.79,warning
53.5,2026-07-19,alignment,5.12,warning
53.6,2026-07-19,alignment,5.24,warning
53.7,2026-07-19,alignment,4.85,ok
53.8,2026-07-19,alignment,4.99,ok
53.9,2026-07-19,alignment,4.83,ok
54.0,2026-07-19,alignment,4.68,ok
54.1,2026-07-19,alignment,4.74,ok
54.2,2026-07-19,alignment,4.83,ok
54.3,2026-07-19,alignment,5.09,warning
54.4,2026-07-19,alignment,5.31,warning
54.5,2026-07-19,alignment,5.25,warning
54.6,2026-07-19,alignment,4.91,ok
54.7,2026-07-19,alignment,4.74,ok
54.8,2026-07-19,alignment,4.51,ok
54.9,2026-07-19,alignment,4.46,ok
55.0,2026-07-19,alignment,4.51,ok
55.1,2026-07-19,alignment,4.54,ok
55.2,2026-07-19,alignment,4.1,ok
